,title,price,district,rooms,sqrt_mtrs,url_adress
34,b'Mieszkanie z dwoma wej\xc5\x9bciami w kamienicy.',1199000,"b'Warszawa, \xc5\x9ar\xc3\xb3dmie\xc5\x9bcie'",,,https://www.otodom.pl/oferta/mieszkanie-z-dwoma-wejsciami-w-kamienicy-ID44vKm.html?
35,"b'Atrakcyjne 3-pokojowe mieszkanie, Cybernetyki'",930000,"b'Warszawa, Mokot\xc3\xb3w'",,,https://www.otodom.pl/oferta/atrakcyjne-3-pokojowe-mieszkanie-cybernetyki-ID44Ddv.html?
36,"b'Ul. G\xc3\xb3rno\xc5\x9bl\xc4\x85ska, 3 pokoje, gotowe do zamieszkania'",689000,"b'Warszawa, \xc5\x9ar\xc3\xb3dmie\xc5\x9bcie'",,,https://www.otodom.pl/oferta/ul-gornoslaska-3-pokoje-gotowe-do-zamieszkania-ID44pGJ.html?
37,b'Mieszkanie na zamkni\xc4\x99tym osiedlu Al Jerozolimskie',799000,"b'Warszawa, W\xc5\x82ochy'",,,https://www.otodom.pl/oferta/mieszkanie-na-zamknietym-osiedlu-al-jerozolimskie-ID44k4n.html?
38,"b'3 pokoje z oddzieln\xc4\x85 kuchni\xc4\x85, Praga Po\xc5\x82udnie'",450000,"b'Warszawa, Praga-Po\xc5\x82udnie'",,,https://www.otodom.pl/oferta/3-pokoje-z-oddzielna-kuchnia-praga-poludnie-ID44B8R.html?
39,b'Pi\xc4\x99kne 3 pokojowe mieszkanie na ostatnim pi\xc4\x99trze',810000,"b'Warszawa, Wilan\xc3\xb3w'",,,https://www.olx.pl/oferta/piekne-3-pokojowe-mieszkanie-na-ostatnim-pietrze-CID3-IDDCjej.html#529fe8f04c
40,b'Mieszkanie 68m2 Praga P\xc3\xb3\xc5\x82noc blisko Metra i Konesera',845000,"b'Warszawa, Praga-P\xc3\xb3\xc5\x82noc'",,,https://www.olx.pl/oferta/mieszkanie-68m2-praga-polnoc-blisko-metra-i-konesera-CID3-IDDqDfo.html#529fe8f04c;promoted
41,b'Praga Po\xc5\x82udnie Apartamenty SPALINOWA 2 poziomowe',1203240,"b'Warszawa, Praga-Po\xc5\x82udnie'",,,https://www.otodom.pl/oferta/praga-poludnie-apartamenty-spalinowa-2-poziomowe-ID44Ddi.html?
42,"b'Warszawa Wola, M\xc5\x82yn\xc3\xb3w, ul. P\xc5\x82ocka'",699000,"b'Warszawa, Wola'",,,https://www.otodom.pl/oferta/warszawa-wola-mlynow-ul-plocka-ID43W46.html?
43,"b'Pi\xc4\x99kne 3 -pokojowe mieszkanie po generalnym remoncie, do zamieszkania.'",605000,"b'Warszawa, \xc5\x9ar\xc3\xb3dmie\xc5\x9bcie'",,,https://www.olx.pl/oferta/piekne-3-pokojowe-mieszkanie-po-generalnym-remoncie-do-zamieszkania-CID3-IDDj8N8.html#529fe8f04c;promoted
